Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Guest editorial: special section on artificial intelligence for requirements engineering","Automated Software Engineering","","26","3","10.1007/s10515-019-00262-6","Eduard C. GroenRachel HarrisonPradeep K. MurukannaiahAndreas Vogelsang","2019","http://link.springer.com/article/10.1007/s10515-019-00262-6","Article"
"A survey of traceability in requirements engineering and model-driven development","Software & Systems Modeling","","9","4","10.1007/s10270-009-0145-0","Stefan WinklerJens von Pilgrim","2010","http://link.springer.com/article/10.1007/s10270-009-0145-0","Article"
"Bayesian networks for enhancement of requirements engineering: a literature review","Requirements Engineering","","21","4","10.1007/s00766-015-0225-3","Isabel M. del ÁguilaJosé del Sagrado","2016","http://link.springer.com/article/10.1007/s00766-015-0225-3","Article"
"Applications of ontologies in requirements engineering: a systematic review of the literature","Requirements Engineering","","21","4","10.1007/s00766-015-0222-6","Diego DermevalJéssyka VilelaIg Ibert BittencourtJaelson CastroSeiji IsotaniPatrick BritoAlan Silva","2016","http://link.springer.com/article/10.1007/s00766-015-0222-6","Article"
"Enhancing security requirements engineering by organizational learning","Requirements Engineering","","17","1","10.1007/s00766-011-0141-0","Kurt SchneiderEric KnaussSiv HoumbShareeful IslamJan Jürjens","2012","http://link.springer.com/article/10.1007/s00766-011-0141-0","Article"
"Representing and reasoning about preferences in requirements engineering","Requirements Engineering","","16","3","10.1007/s00766-011-0129-9","Sotirios LiaskosSheila A. McIlraithShirin SohrabiJohn Mylopoulos","2011","http://link.springer.com/article/10.1007/s00766-011-0129-9","Article"
"From requirements to UML models and back: how automatic processing of text can support requirements engineering","Software Quality Journal","","22","1","10.1007/s11219-013-9210-6","Mathias LandhäußerSven J. KörnerWalter F. Tichy","2014","http://link.springer.com/article/10.1007/s11219-013-9210-6","Article"
"Feature based problem hardness understanding for requirements engineering","Science China Information Sciences","","60","3","10.1007/s11432-016-0089-7","Zhilei RenHe JiangJifeng XuanShuwei ZhangZhongxuan Luo","2016","http://link.springer.com/article/10.1007/s11432-016-0089-7","Article"
"An exploratory study of Twitter messages about software applications","Requirements Engineering","","22","3","10.1007/s00766-017-0274-x","Emitza GuzmanRana AlkadhiNorbert Seyff","2017","http://link.springer.com/article/10.1007/s00766-017-0274-x","Article"
"Automatic semantic analysis of software requirements through machine learning and ontology approach","Journal of Shanghai Jiaotong University (Science)","","21","6","10.1007/s12204-016-1783-3","Yinglin Wang 王英林","2016","http://link.springer.com/article/10.1007/s12204-016-1783-3","Article"
"An Architecture based on interactive optimization and machine learning applied to the next release problem","Automated Software Engineering","","24","3","10.1007/s10515-016-0200-3","Allysson Allex AraújoMatheus PaixaoItalo YeltsinAltino DantasJerffeson Souza","2017","http://link.springer.com/article/10.1007/s10515-016-0200-3","Article"
"Analysing anaphoric ambiguity in natural language requirements","Requirements Engineering","","16","3","10.1007/s00766-011-0119-y","Hui YangAnne de RoeckVincenzo GervasiAlistair WillisBashar Nuseibeh","2011","http://link.springer.com/article/10.1007/s00766-011-0119-y","Article"
"PBURC: a patterns-based, unsupervised requirements clustering framework for distributed agile software development","Requirements Engineering","","19","2","10.1007/s00766-013-0172-9","Petros BelsisAnastasios KoutoumanosCleo Sgouropoulou","2014","http://link.springer.com/article/10.1007/s00766-013-0172-9","Article"
"Understanding requirement prioritization artifacts: a systematic mapping study","Requirements Engineering","","22","4","10.1007/s00766-016-0253-7","Rahul Thakurta","2017","http://link.springer.com/article/10.1007/s00766-016-0253-7","Article"
"On the automatic classification of app reviews","Requirements Engineering","","21","3","10.1007/s00766-016-0251-9","Walid MaalejZijad KurtanovićHadeer NabilChristoph Stanik","2016","http://link.springer.com/article/10.1007/s00766-016-0251-9","Article"
"A systematic literature review on quality criteria for agile requirements specifications","Software Quality Journal","","26","1","10.1007/s11219-016-9336-4","Petra HeckAndy Zaidman","2018","http://link.springer.com/article/10.1007/s11219-016-9336-4","Article"
"An approach for requirements prioritization based on tensor decomposition","Requirements Engineering","","23","2","10.1007/s00766-016-0262-6","Negin MisaghianHomayun Motameni","2018","http://link.springer.com/article/10.1007/s00766-016-0262-6","Article"
"Repetition between stakeholder (user) and system requirements","Requirements Engineering","","22","2","10.1007/s00766-015-0239-x","Richard Ellis-BraithwaiteRussell LockRay DawsonTim King","2017","http://link.springer.com/article/10.1007/s00766-015-0239-x","Article"
