Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards the automatic classification of traceability links,C. Mills,"Department of Computer Science, Florida State University, Tallahassee, USA",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),,2017,,,1018,1021,"A wide range of text-based artifacts contribute to software projects (e.g., source code, test cases, use cases, project requirements, interaction diagrams, etc.). Traceability Link Recovery (TLR) is the software task in which relevant documents in these various sets are linked to one another, uncovering information about the project that is not available when considering only the documents themselves. This information is helpful for enabling other tasks such as improving test coverage, impact analysis, and ensuring that system or regulatory requirements are met. However, while traceability links are useful, performing TLR manually is time consuming and fraught with error. Previous work has applied Information Retrieval (IR) and other techniques to reduce the human effort involved; however, that effort remains significant. In this research we seek to take the next step in reducing it by using machine learning (ML) classification models to predict whether a candidate link is valid or invalid without human oversight. Preliminary results show that this approach has promise for accurately recommending valid links; however, there are several challenges that still must be addressed in order to achieve a technique with high enough performance to consider it a viable, completely automated solution.",,,10.1109/ASE.2017.8115723,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8115723,software traceability;traceability link recovery;machine learning,Software;Classification algorithms;Semantics;Predictive models;Measurement;Tuning,information retrieval;learning (artificial intelligence);software maintenance;text analysis,automatic classification;traceability links;software projects;source code;project requirements;interaction diagrams;TLR;software task;relevant documents;test coverage;human effort;machine learning classification models;information retrieval;traceability link recovery,,,,33,,,,,IEEE,IEEE Conferences
Scheduling and control in hybrid data centers,M. Glick; H. Rastegarfar,"College of Optical Sciences, The University of Arizona, 1630 E. University Blvd., Tucson 85721, USA; College of Optical Sciences, The University of Arizona, 1630 E. University Blvd., Tucson 85721, USA",2017 IEEE Photonics Society Summer Topical Meeting Series (SUM),,2017,,,115,116,"We examine the scheduling issues in hybrid electrical/optical data center (DC) networks, considering several implementation requirements. For flexible and programmable resource provisioning, centralized software-defined network (SDN) control can be best complemented with distributed, fast, and accurate flow classification based on machine learning (ML).",,,10.1109/PHOSST.2017.8012677,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8012677,,Optical switches;Optical fiber networks;Optical packet switching;Image motion analysis;Computer vision;Mice,computer centres;electro-optical devices;learning (artificial intelligence);optical communication equipment;resource allocation;software defined networking;telecommunication scheduling,scheduling issues;hybrid electrical-optical data center networks;flexible resource provisioning;programmable resource provisioning;centralized software-defined network control;flow classification;machine learning,,1,,6,,,,,IEEE,IEEE Conferences
Ambiguous Software Requirement Specification Detection: An Automated Approach,M. H. Osman; M. F. Zaharin,NA; NA,2018 IEEE/ACM 5th International Workshop on Requirements Engineering and Testing (RET),,2018,,,33,40,"Software requirement specification (SRS) document is the most crucial document in software development process. All subsequent steps in software development are influenced by this document. However, issues in requirement, such as ambiguity or incomplete specification may lead to misinterpretation of requirements which consequently, influence the testing activities and higher the risk of time and cost overrun of the project. Finding defects in the initial development phase is crucial since the defect that found late is more expensive than if it was found early. This study describes an automated approach for detecting ambiguous software requirement specification. To this end, we propose the combination of text mining and machine learning. Since the dataset is derived from Malaysian industrial SRS documents, this study only focuses on the Malaysian context. We used text mining for feature extraction and for preparing the training set. Based on this training set, the method `learns' to detect the ambiguous requirement specification. In this paper, we study a set of nine (9) classification algorithms from the machine learning community and evaluate which algorithm performs best to detect the ambiguous software requirement specification. Based on the experiment's result, we develop a working prototype which later is used for our initial validation of our approach. The initial validation shows that the result produced by the classification model is reasonably acceptable. Even though this study is an experimental benchmark, we optimist that this approach may contributes to enhance the quality of SRS.",,,,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8444122,Software Engineering;Requirement Engineering;Machine Learning;Text Mining,Conferences;Requirements engineering;Testing,data mining;feature extraction;formal specification;learning (artificial intelligence);pattern classification;project management;software development management;software engineering;software quality;text analysis,automated approach;text mining;Malaysian industrial SRS documents;training set;ambiguous software requirement specification detection;software requirement specification document;crucial document;software development process;initial development phase;machine learning;feature extraction;classification algorithms;working prototype;classification model,,,,29,,,,,IEEE,IEEE Conferences
Invited Paper: What is AI Software Testing? and Why,J. Gao; C. Tao; D. Jie; S. Lu,San Jose State University; Nanjing University of Aeronautics and Astronautics; Taiyuan University of Technology; Taiyuan University of Technology,2019 IEEE International Conference on Service-Oriented System Engineering (SOSE),,2019,,,27,2709,"With the fast advance of artificial intelligence technology and data-driven machine learning techniques, building high-quality AI-based software in different application domains is becoming a very hot research topic in both academic and industry communities. Today, many machine learning models and artificial technologies have been developed to build smart application systems based on multimedia inputs to achieve intelligent functional features, such as recommendation, object detection, classification, and prediction, natural language processing and translation, and so on. This brings strong demand in quality validation and assurance for AI software systems. Current research work seldom discusses AI software testing questions, challenges, and validation approaches with clear quality requirements and criteria. This paper focuses on AI software quality validation, including validation focuses, features, and process, and potential testing approaches. Moreover, it presents a test process and a classification-based test modeling for AI classification function testing. Finally, it discusses the challenges, issues, and needs in AI software testing.",;,,10.1109/SOSE.2019.00015,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8705808,"AI-Testing,-Testing-AI-software,-AI-software-quality-validation.",Software;Software testing;Machine learning;Training;Data models,artificial intelligence;learning (artificial intelligence);object detection;program testing;software quality,AI software testing;artificial intelligence technology;data-driven machine learning techniques;high-quality AI-based software;academic industry communities;machine learning models;artificial technologies;smart application systems;intelligent functional features;natural language processing;translation;AI software systems;clear quality requirements;AI software quality validation;test process;classification-based test modeling;AI classification function testing;application domains,,,,31,,,,,IEEE,IEEE Conferences
Let’s Hear it from RETTA: A Requirements Elicitation Tool for TrAffic Management Systems,M. Noaeen; Z. S. H. Abad; B. H. Far,"Dept. of Electr. & Comput. Eng., Univ. of Calgary, Calgary, AB, Canada; Dept. of Comput. Sci., Univ. of Calgary, Calgary, AB, Canada; Dept. of Electr. & Comput. Eng., Univ. of Calgary, Calgary, AB, Canada",2017 IEEE 25th International Requirements Engineering Conference (RE),,2017,,,450,451,"The area of Traffic Management (TM) is characterized by uncertainty, complexity, and imprecision. The complexity of software systems in the TM domain which contributes to a more challenging Requirements Engineering (RE) job mainly stems from the diversity of stakeholders and complexity of requirements elicitation in this domain. This work brings an interactive solution for exploring functional and non-functional requirements of software-reliant systems in the area of traffic management. We prototyped the RETTA tool which leverages the wisdom of the crowd and combines it with machine learning approaches such as Natural Language Processing and Naïve Bayes to help with the requirements elicitation and classification task in the TM domain. This bridges the gap among stakeholders from both areas of software development and transportation engineering. The RETTA prototype is mainly designed for requirements engineers and software developers in the area of TM and can be used on Android-based devices.",,,10.1109/RE.2017.78,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8049156,Requirements Engineering;Transportation Management;Tool Development;Traffic Signal Timing,Tools;Transportation;Complexity theory;Data analysis;Prototypes;Computational modeling;Requirements engineering,Android (operating system);Bayes methods;formal specification;graphical user interfaces;learning (artificial intelligence);natural language processing;pattern classification;systems analysis;traffic engineering computing,TM domain;software development;transportation engineering;software systems;nonfunctional requirements;software-reliant systems;RETTA tool;machine learning approaches;Natural Language Processing;requirements engineering;requirements elicitation tool-for-traffic management systems;functional requirements;naïve Bayes method;Android-based devices,,4,,7,,,,,IEEE,IEEE Conferences
A Systematic Approach of Dataset Definition for a Supervised Machine Learning Using NFR Framework,M. Marinho; D. Arruda; F. Wanderley; A. Lins,"Centro de Cienc. e Tecnol., Univ. Catolica de Pernambuco, Recife, Brazil; Centro de Cienc. e Tecnol., Univ. Catolica de Pernambuco, Recife, Brazil; Centro de Cienc. e Tecnol., Univ. Catolica de Pernambuco, Recife, Brazil; Centro de Cienc. e Tecnol., Univ. Catolica de Pernambuco, Recife, Brazil",2018 11th International Conference on the Quality of Information and Communications Technology (QUATIC),,2018,,,110,118,"Non-functional requirements describe important constraints upon the software development and should therefore be considered and specified as early as possible during the system analysis. Effective elicitation of requirements is arguably among the most important of the resulting recommended RE practices. Recent research has shown that artificial intelligence techniques such as Machine Learning and Text Mining perform the automatic extraction and classification of quality attributes from text documents with relevant results. This paper aims to define a systematic process of dataset generation through NFR Framework catalogues improving the NFR's classification process using Machine Learning techniques. A well-known dataset (Promise) was used to evaluate the precision of our approach reaching interesting results. Regarding to security and performance we obtained a precision and recall ranging between ~85% and ~98%. And we achievement a F1 above ~79% when classified the security, performance and usability together.",,,10.1109/QUATIC.2018.00024,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8590177,non-fucntional requirements;NFR framework;artificial inteligence;machine learning;SIG,Machine learning;Systematics;Security;Requirements engineering;Usability,data mining;formal specification;formal verification;learning (artificial intelligence);pattern classification;systems analysis;text analysis,systematic approach;dataset definition;nonfunctional requirements;software development;system analysis;artificial intelligence techniques;automatic extraction;text documents;systematic process;dataset generation;NFR's classification process;text mining;supervised machine learning techniques,,,,44,,,,,IEEE,IEEE Conferences
A novel probabilistic-ABC based boosting model for software defect detection,P. R. Kumar; G. P. S. Varma,"Department of CSE, Sir C R R College of engineering, Eluru, India; Sagi Ramakrishnam Raju Engineering College, Bhimavaram, West Godavari District, India","2017 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)",,2017,,,1,6,"As the development platforms in software technology grow rapidly; the development of software systems has become more and more complex and versatile. It is quite necessary for the software industries to develop software products with good qualities. As the size of the product and development technologies increasing, there is need for identification of software defects at the early stage of development phase. Detection of defects appropriately and accurately measured in the early stage to increase the quality of the product. Software metric can be defined as building blocks of prediction models. The evaluation of software metric is carried out in the design and coding phase prior to actual implementation of the product. Defects are described as a type of conditions that does not satisfy minimum requirement and this can lead to malfunction or unexpected outcomes. The numbers of defects are inversely proportional with the quality which means, on decreasing numbers of defects will result better software quality. Detection of these defects at the early stage of development life cycle will reduce the cost and effort to a great extent. Since decades many researchers have proposed different models for detection of defects in software modules. In this paper we emphasized on defect detection approaches using machine learning scheme to improve true positive rate. Prediction metrics are basically split into two categories, those are: - code metrics and process metrics. In this paper we have designed and implemented a novel defect prediction model using probabilistic ABC based classification model. We compared our model with various defect detection approaches in terms of statistical measures. Experimental results proved that proposed model has high computational detection rate compared to traditional models.",,,10.1109/ICIIECS.2017.8276059,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8276059,Software defects;Machine learning;feature selection models,Software;Predictive models;Computational modeling;Software metrics;Feature extraction;Genetic algorithms,cost reduction;DP industry;learning (artificial intelligence);pattern classification;program testing;software metrics;software quality;statistical analysis,software defect detection;development platforms;software technology;development technologies;early stage;development phase;software metric;prediction models;coding phase;development life cycle;software modules;defect detection approaches;prediction metrics;code metrics;process metrics;probabilistic ABC based classification model;high computational detection rate;traditional models;software system development;software product quality;software defect identification;design phase;probabilistic-ABC based boosting model;software industries;cost reduction;cost reduction;machine learning scheme;true positive rate;defect prediction model;statistical measures,,,,12,,,,,IEEE,IEEE Conferences
Weka meets TraceLab: Toward convenient classification: Machine learning for requirements engineering problems: A position paper,J. H. Hayes; W. Li; M. Rahimi,"Computer Science Department University of Kentucky Lexington, Kentucky, USA; Computer Science Department University of Kentucky Lexington, Kentucky, USA; School of Computing DePaul University Chicago, Illinois, USA",2014 IEEE 1st International Workshop on Artificial Intelligence for Requirements Engineering (AIRE),,2014,,,9,12,"Requirements engineering encompasses many difficult, overarching problems inherent to its subareas of process, elicitation, specification, analysis, and validation. Requirements engineering researchers seek innovative, effective means of addressing these problems. One powerful tool that can be added to the researcher toolkit is that of machine learning. Some researchers have been experimenting with their own implementations of machine learning algorithms or with those available as part of the Weka machine learning software suite. There are some shortcomings to using “one off” solutions. It is the position of the authors that many problems exist in requirements engineering that can be supported by Weka's machine learning algorithms, specifically by classification trees. Further, the authors posit that adoption will be boosted if machine learning is easy to use and is integrated into requirements research tools, such as TraceLab. Toward that end, an initial concept validation of a component in TraceLab is presented that applies the Weka classification trees. The component is demonstrated on two different requirements engineering problems. Finally, insights gained on using the TraceLab Weka component on these two problems are offered.",,,10.1109/AIRE.2014.6894850,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=6894850,Artificial intelligence;machine learning;requirements engineering;classification;decision trees;TraceLab;Weka,Classification tree analysis;Classification algorithms;Machine learning algorithms;Educational institutions;Software;Supervised learning,decision trees;formal specification;learning (artificial intelligence);pattern classification,TraceLab Weka component;Weka classification trees;requirements research tools;one off solutions;requirements engineering problems;Weka machine learning software suite,,4,,12,,,,,IEEE,IEEE Conferences
Semi-Automated Extraction of New Requirements from Online Reviews for Software Product Evolution,J. Buchan; M. Bano; D. Zowghi; P. Volabouth,"Auckland Univ. of Technol., Auckland, New Zealand; Swinburne Univ. of Technol., Melbourne, VIC, Australia; Univ. of Technol. Sydney, Sydney, NSW, Australia; Auckland Univ. of Technol., Auckland, New Zealand",2018 25th Australasian Software Engineering Conference (ASWEC),,2018,,,31,40,"In order to improve and increase their utility, software products must evolve continually and incrementally to meet the new requirements of current and future users. Online reviews from users of the software provide a rich and readily available resource for discovering candidate new features for future software releases. However, it is challenging to manually analyze a large volume of potentially unstructured and noisy data to extract useful information to support software release planning decisions. This paper investigates machine learning techniques to automatically identify text that represents users' ideas for new features from their online reviews. A binary classification approach to categorize extracted text as either a feature or non-feature was evaluated experimentally. Three machine learning algorithms were evaluated in the experiments: Naïve Bayes (with multinomial and Bernoulli variants), Support Vector Machines (with linear and multinomial variants) and Logistic Regression. Variations on the configurations of k-fold cross validation, the use of n-grams and review sentiment were also experimentally evaluated. Based on binary classification of over a thousand separate reviews of two products, Trello and Jira, linear Support Vector Machines with review sentiment as an input, using n-gram (1,4) together with k-fold 10 cross validation gave the best performance. The results have confirmed the feasibility and accuracy of semi-automated extraction of candidate requirements from a large volume of unstructured and noisy online user reviews. The next steps planned are to experiment with machine supported grouping, prioritizing and visualizing the extracted features to best support release planners' work, as well as extending the sources of candidate requirements.",;,,10.1109/ASWEC.2018.00013,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8587284,Software requirements;Feature request;Software product line;Online reviews,Feature extraction;Software;Measurement;Semantics;Support vector machines;Ontologies;Data mining,Bayes methods;feature extraction;learning (artificial intelligence);natural language processing;pattern classification;regression analysis;software development management;support vector machines;text analysis,online reviews;software product evolution;software products;future software releases;potentially unstructured data;noisy data;software release planning decisions;binary classification approach;extracted text;machine learning algorithms;multinomial variants;Bernoulli variants;k-fold cross validation;review sentiment;thousand separate reviews;semiautomated extraction;candidate requirements;unstructured user reviews;noisy online user reviews;machine supported grouping;support release planners;linear support vector machines,,,,35,,,,,IEEE,IEEE Conferences
Logic-Based Learning in Software Engineering,D. Alrajeh; A. Russo; S. Uchitel; J. Kramer,"Imperial Coll. London, London, UK; Imperial Coll. London, London, UK; Imperial Coll. London, London, UK; Imperial Coll. London, London, UK",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),,2016,,,892,893,"In recent years, research efforts have been directed towards the use of Machine Learning (ML) techniques to support and automate activities such as program repair, specification mining and risk assessment. The focus has largely been on techniques for classification, clustering and regression. Although beneficial, these do not produce a declarative, interpretable representation of the learned information. Hence, they cannot readily be used to inform, revise and elaborate software models. On the other hand, recent advances in ML have witnessed the emergence of new logic-based learning approaches that differ from traditional ML in that their output is represented in a declarative, rule-based manner, making them well-suited for many software engineering tasks. In this technical briefing, we will introduce the audience to the latest advances in logic-based learning, give an overview of how logic-based learning systems can successfully provide automated support to a variety of software engineering tasks, demonstrate the application to two real case studies from the domain of requirements engineering and software design and highlight future challenges and directions.",,,,,https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=7883431,,Software engineering;Requirements engineering;Maintenance engineering;Learning systems;Software systems;Computational modeling,formal specification;formal verification;learning (artificial intelligence);pattern classification;pattern clustering;regression analysis,logic-based learning;software engineering;machine learning;ML techniques;program repair;specification mining;risk assessment;software models;declarative rule-based manner;requirements engineering;software design,,,,10,,,,,IEEE,IEEE Conferences
